School,Conf,Coach, TotalPay , Graduation Rate (GSR) , StadSize ,W,L, Ratio ,OffenceScore,Defense Score,Score,PointsPerGame
Minnesota,Big Ten,P.J. Fleck,3550000,85,52525,9,4,2.25,4,4.65,8.65,76.61
Mississippi,SEC,Matt Luke,3000000,85,60580,,,,,,,
Mississippi State,SEC,Joe Moorhead,2600000,85,61337,6,7,0.857142857,5.19,-3.51,1.68,80.98
Missouri,SEC,Barry Odom,2350000,74,71168,4,8,0.5,0.19,-2.69,-2.5,81.02
Navy,AAC,Ken Niumatalolo,2163000,71,34000,9,5,1.8,6.88,-3.29,3.59,83.6
Nebraska,Big Ten,Scott Frost,5000000,71,87091,9,4,2.25,-0.9,8.45,7.55,73.76
Nevada,Mt. West,Jay Norvell,500000,71,30000,5,7,0.714285714,-6.49,-3.21,-9.7,65.95
Nevada-Las Vegas,Mt. West,Tony Sanchez,600000,71,65000,4,8,0.5,0.93,-10.98,-10.05,74.74
New Mexico,Mt. West,Bob Davie,823740,71,39224,9,4,2.25,5.26,-6.47,-1.21,77.47
New Mexico State,Ind.,Doug Martin,419640,71,30343,3,9,0.333333333,-4.52,-8.36,-12.88,68.52
North Carolina,ACC,Larry Fedora,2575000,59,62980,8,5,1.6,6.18,2.07,8.25,82.25
North Carolina State,ACC,Dave Doeren,3000000,66,57583,7,6,1.166666667,0.69,6.81,7.49,76.44
Northern Illinois,MAC,Rod Carey,633460,71,10000,5,7,0.714285714,-0.94,-3.45,-4.39,73.18
Northwestern,Big Ten,Pat Fitzgerald,3619775,84,47130,7,6,1.166666667,0.48,4.98,5.46,75.16
Notre Dame,Ind.,Brian Kelly,2129638,99,80795,4,8,0.5,5.46,-1.19,4.27,81.03
Ohio,MAC,Frank Solich,580331,99,24000,8,6,1.333333333,-3.34,1.35,-1.99,68.13
Ohio State,Big Ten,Urban Meyer,7600000,99,104944,11,2,5.5,3.69,15.13,18.82,88.76
Oklahoma,Big 12,Lincoln Riley,4800000,74,82112,11,2,5.5,14.64,0.34,14.98,92.54
Oklahoma State,Big 12,Mike Gundy,5000000,74,60218,10,3,3.333333333,8.39,2.77,11.16,85.39
Oregon,Pac-12,Mario Cristobal,2500000,70,54000,4,8,0.5,11.12,-10.42,0.7,84.15
Oregon State,Pac-12,Jonathan Smith,1900008,70,45674,4,8,0.5,0.5,1.02,1.53,74.16
Penn State,Big Ten,James Franklin,4800000,69,106572,11,3,3.666666667,11.63,4.09,15.72,87.46
Pittsburgh,ACC,Pat Narduzzi,3017718,84,68400,,,,,,,
Purdue,Big Ten,Jeff Brohm,3800000,96,56400,3,9,0.333333333,0.2,-9.16,-8.96,73.85
Rutgers,Big Ten,Chris Ash,2200000,78,52454,2,10,0.2,-9.42,2.45,-6.97,66.15
San Diego State,Mt. West,Rocky Long,873576,94,70561,11,3,3.666666667,-0.89,6.86,5.97,76.05
San Jose State,Mt. West,Brent Brennan,590424,76,30456,4,8,0.5,-4.71,-5.31,-10.03,68.2
South Alabama,Sun Belt,Steve Campbell,600000,40,33500,6,7,0.857142857,-2.84,-2.96,-5.8,68.61
South Carolina,SEC,Will Muschamp,4200000,40,80250,6,7,0.857142857,-5.88,4.97,-0.91,68.17
South Florida,AAC,Charlie Strong,1000000,70,65890,11,2,5.5,14,-6.16,7.83,90.21
Southern California,Pac-12,Clay Helton,2625965,63,93607,,,,,,,
Southern Methodist,AAC,Sonny Dykes,,75,32000,,,,,,,
Stanford,Pac-12,David Shaw,4311543,67,50000,10,3,3.333333333,0.01,12.54,12.54,73.09
Syracuse,ACC,Dino Babers,2401206,80,49250,4,8,0.5,0.08,-4.59,-4.51,75.51
Temple,AAC,Geoff Collins,,82,68532,10,4,2.5,2,6.96,8.97,78.15
Tennessee,SEC,Jeremy Pruitt,,83,102455,9,4,2.25,11.58,-0.99,10.59,88.42
Texas,Big 12,Tom Herman,5500000,77,100119,5,7,0.714285714,3.16,-1.41,1.75,77.22
Texas A&M,SEC,Jimbo Fisher,7500000,77,102733,8,5,1.6,5.4,3.37,8.77,84.98
Texas Christian,Big 12,Gary Patterson,4840717,68,50000,6,7,0.857142857,1.88,0.74,2.63,77.84
Texas State,Sun Belt,Everett Withers,700000,53,30000,2,10,0.2,-9.6,-9.26,-18.86,63
Texas Tech,Big 12,Kliff Kingsbury,3703975,70,60862,5,7,0.714285714,12.46,-11.12,1.34,90.62
Toledo,MAC,Jason Candle,1125000,71,26248,9,4,2.25,7.2,-2.26,4.94,82.66
Troy,Sun Belt,Neal Brown,810000,67,30000,10,3,3.333333333,1.63,2.48,4.1,77.3
Tulane,AAC,Willie Fritz,1629000,68,30000,4,8,0.5,-5.62,-0.92,-6.54,70.55
Tulsa,AAC,Philip Montgomery,1518177,84,35542,10,3,3.333333333,11.07,-4.16,6.91,88.48
UCLA,Pac-12,Chip Kelly,3300000,79,92542,4,8,0.5,-0.86,3.49,2.63,71.93
Utah,Pac-12,Kyle Whittingham,3787917,78,45017,9,4,2.25,3.31,5.35,8.65,75.34
Utah State,Mt. West,Matt Wells,900000,78,25513,3,9,0.333333333,-4.63,-1.35,-5.99,69.88
Vanderbilt,SEC,Derek Mason,2812523,68,40350,6,7,0.857142857,-2.05,5.26,3.21,72.09
Virginia,ACC,Bronco Mendenhall,3550000,85,61500,2,10,0.2,-4.34,-3.91,-8.25,70.74
Virginia Tech,ACC,Justin Fuente,4000000,86,66233,10,4,2.5,4.26,6.74,11,82.68
Wake Forest,ACC,Dave Clawson,1831580,78,31500,7,6,1.166666667,-4.32,5.04,0.73,69.97
Washington,Pac-12,Chris Petersen,4377500,93,70500,12,2,6,7.59,12.39,19.98,88.28
Washington State,Pac-12,Mike Leach,3500000,93,32248,8,5,1.6,5.7,3.33,9.03,84.22
West Virginia,Big 12,Dana Holgorsen,3617500,66,60000,10,3,3.333333333,4.01,5.56,9.57,78.75
Western Michigan,MAC,Tim Lester,800000,74,30200,13,1,13,7.61,4.42,12.03,86.24
Wisconsin,Big Ten,Paul Chryst,3750000,71,80321,11,3,3.666666667,2.13,13.17,15.3,78.74
Wyoming,Mt. West,Craig Bohl,1412000,97,29181,8,6,1.333333333,9.04,-7.68,1.37,81.23
